TradeNumber,Instrument,Direction,Quantity,EntryTime,EntryPrice,EntryName,ExitTime,ExitPrice,ExitName,ProfitPoints,ProfitTicks,ProfitCurrency,Commission,CumProfitCurrency,MaePoints,MfePoints,Stop,Target,R
0,NQ,Long,1,2020-01-07 22:11:00,11626.25,VAB,2020-01-07 22:57:00,11613.75,Stop loss,-12.7,-50.8,-254,4,-254,12.5,5.25,11614.0208333333,11649.7395833333,-1.0221
1,NQ,Long,1,2020-01-08 02:20:00,11639,VAB,2020-01-08 02:25:00,11630.25,Stop loss,-8.95,-35.8,-179,4,-433,8.75,3.5,11630.4583333333,11655.4895833333,-1.0244
2,NQ,Long,1,2020-01-08 02:57:00,11640.75,VAB,2020-01-08 03:05:00,11638,Sell,-2.95,-11.8,-59,4,-492,4.5,3.75,11629.8333333333,11661.4583333333,-0.2519
3,NQ,Short,1,2020-01-14 10:44:00,11868,VAB,2020-01-14 10:50:00,11873,Stop loss,-5.2,-20.8,-104,4,-596,5,2.25,11872.75,11859.34375,-1.0526
4,NQ,Long,1,2020-01-15 05:32:00,11862,VAB,2020-01-15 05:47:00,11867.5,Profit target,5.3,21.2,106,4,-490,2,5.5,11858.9479166667,11867.5729166667,1.8020
5,NQ,Long,1,2020-01-15 09:31:00,11889.5,VAB,2020-01-15 10:11:00,11881,Stop loss,-8.7,-34.8,-174,4,-664,8.5,12.5,11881.1145833333,11905.1770833333,-1.0137
6,NQ,Long,1,2020-01-17 05:38:00,11975.25,VAB,2020-01-17 05:53:00,11972.75,Stop loss,-2.7,-10.8,-54,4,-718,2.5,1.5,11972.6875,11979.4375,-0.9756
7,NQ,Short,1,2020-01-20 00:26:00,11984.25,VAB,2020-01-20 00:31:00,11985.75,Stop loss,-1.7,-6.8,-34,4,-752,1.75,0.25,11985.75,11982.25,-1.0000
8,NQ,Short,1,2020-01-20 02:56:00,11969.25,VAB,2020-01-20 03:01:00,11971.5,Stop loss,-2.45,-9.8,-49,4,-801,2.25,2,11971.25,11965.625,-1.1250
9,NQ,Long,1,2020-01-22 01:16:00,12039.75,VAB,2020-01-22 01:16:00,12038.25,Stop loss,-1.7,-6.8,-34,4,-835,1.5,0,12038.4791666667,12041.6041666667,-1.1803
10,NQ,Long,1,2020-01-22 01:42:00,12039.75,VAB,2020-01-22 01:42:00,12038.25,Stop loss,-1.7,-6.8,-34,4,-869,1.5,0,12038.25,12042,-1.0000
11,NQ,Long,1,2020-01-23 03:50:00,12002,VAB,2020-01-23 03:51:00,11999.75,Stop loss,-2.45,-9.8,-49,4,-918,2.75,0,11999.8125,12006.1875,-1.0286
12,NQ,Long,1,2020-01-26 22:47:00,11841.75,VAB,2020-01-26 22:51:00,11838,Stop loss,-3.95,-15.8,-79,4,-997,3.75,0,11838.3229166667,11848.0104166667,-1.0942
13,NQ,Long,1,2020-01-29 00:16:00,11944.75,VAB,2020-01-29 00:21:00,11942.25,Stop loss,-2.7,-10.8,-54,4,-1051,2.5,0.25,11942.125,11948.875,-0.9524
14,NQ,Long,1,2020-02-03 20:35:00,11958.25,VAB,2020-02-03 20:38:00,11950,Stop loss,-8.45,-33.8,-169,4,-1220,8.25,2.25,11950.3541666667,11973.6041666667,-1.0449
15,NQ,Long,1,2020-02-04 15:42:00,12164.75,VAB,2020-02-04 16:00:00,12166,Exit on session close,1.05,4.2,21,4,-1199,2,10.5,12149.8020833333,12193.8958333333,0.0836
16,NQ,Long,1,2020-02-05 05:21:00,12250.5,VAB,2020-02-05 05:36:00,12244.5,Stop loss,-6.2,-24.8,-124,4,-1323,6,9.5,12244.8541666667,12260.6666666667,-1.0627
17,NQ,Long,1,2020-02-11 02:35:00,12370,VAB,2020-02-11 02:43:00,12365.5,Stop loss,-4.7,-18.8,-94,4,-1417,4.5,3.75,12365.7916666667,12377.4166666667,-1.0693
18,NQ,Short,1,2020-02-11 03:48:00,12357.75,VAB,2020-02-11 03:51:00,12361,Stop loss,-3.45,-13.8,-69,4,-1486,3.25,1.25,12360.875,12351.90625,-1.0400
19,NQ,Long,1,2020-02-19 19:31:00,12564.75,VAB,2020-02-19 19:32:00,12561,Stop loss,-3.95,-15.8,-79,4,-1565,3.75,1,12561.0833333333,12571.6458333333,-1.0227
20,NQ,Short,1,2020-02-20 12:51:00,12396.25,VAB,2020-02-20 13:04:00,12412.5,Stop loss,-16.45,-65.8,-329,4,-1894,16.25,7,12412.3125,12364.5,-1.0117
21,NQ,Long,1,2020-02-21 06:19:00,12389,VAB,2020-02-21 06:31:00,12395.5,Profit target,6.3,25.2,126,4,-1768,4.25,6.5,12385.4166666667,12395.4166666667,1.8140
22,NQ,Short,1,2020-03-08 22:28:00,10899.25,VAB,2020-03-08 22:28:00,10899.25,Stop loss,-0.2,-0.8,-4,4,-1772,0,0,10899.25,10899.2499999999,0.0000
23,NQ,Short,1,2020-03-12 05:51:00,10411.25,VAB,2020-03-12 05:53:00,10421.5,Stop loss,-10.45,-41.8,-209,4,-1981,10.25,1.5,10421.1666666667,10391.7916666667,-1.0336
24,NQ,Short,1,2020-03-12 06:16:00,10411.25,VAB,2020-03-12 08:15:00,10405.5,Buy to cover,5.55,22.2,111,4,-1870,8.75,5.75,10421.1666666667,10394.7291666667,0.5798
25,NQ,Long,1,2020-03-24 10:36:00,10242.25,VAB,2020-03-24 11:39:00,10332.25,Profit target,89.8,359.2,1796,4,-74,20.25,90,10196.8333333333,10332.3020833333,1.9817
