TradeNumber,Instrument,Direction,Quantity,EntryTime,EntryPrice,EntryName,ExitTime,ExitPrice,ExitName,ProfitPoints,ProfitTicks,ProfitCurrency,Commission,CumProfitCurrency,MaePoints,MfePoints
0,NQ,Short,1,2015-01-02 04:08:00,7238.25,VAB,2015-01-02 04:40:00,7240.75,Stop loss,-2.788,-11.152,-55.76,5.76,-55.76,2.5,2.75
1,NQ,Short,1,2015-01-06 00:31:00,7147,VAB,2015-01-06 00:57:00,7148.5,Stop loss,-1.788,-7.152,-35.76,5.76,-91.52,1.5,1
2,NQ,Long,1,2015-01-06 21:51:00,7102.5,VAB,2015-01-06 21:51:00,7101.75,Stop loss,-1.038,-4.152,-20.76,5.76,-112.28,0.75,0
3,NQ,Long,1,2015-01-07 00:59:00,7102,VAB,2015-01-07 01:01:00,7103.25,Profit target,0.962,3.848,19.24,5.76,-93.04,0,1.25
4,NQ,Long,1,2015-01-07 15:12:00,7140.75,VAB,2015-01-07 16:00:00,7142.5,Exit on session close,1.462,5.848,29.24,5.76,-63.8,2,3.5
5,NQ,Short,1,2015-01-09 06:57:00,7212,VAB,2015-01-09 07:01:00,7213.75,Stop loss,-2.038,-8.152,-40.76,5.76,-104.56,1.75,0.5
6,NQ,Short,1,2015-01-12 11:18:00,7160.75,VAB,2015-01-12 11:20:00,7166.25,Stop loss,-5.788,-23.152,-115.76,5.76,-220.32,5.5,2
7,NQ,Long,1,2015-01-19 22:46:00,7133.5,VAB,2015-01-19 23:31:00,7138,Profit target,4.212,16.848,84.24,5.76,-136.08,1,4.5
8,NQ,Long,1,2015-01-21 21:02:00,7177.25,VAB,2015-01-21 21:19:00,7176.25,Stop loss,-1.288,-5.152,-25.76,5.76,-161.84,1,0.75
9,NQ,Long,1,2015-01-21 21:22:00,7177.5,VAB,2015-01-21 21:36:00,7176.5,Stop loss,-1.288,-5.152,-25.76,5.76,-187.6,1,0.25
10,NQ,Long,1,2015-01-21 21:49:00,7177.5,VAB,2015-01-21 22:02:00,7176.5,Stop loss,-1.288,-5.152,-25.76,5.76,-213.36,1,1.25
11,NQ,Long,1,2015-01-21 23:16:00,7178,VAB,2015-01-21 23:16:00,7177.5,Stop loss,-0.788,-3.152,-15.76,5.76,-229.12,0.5,0
12,NQ,Long,1,2015-01-22 01:38:00,7180.75,VAB,2015-01-22 01:58:00,7185.75,Profit target,4.712,18.848,94.24,5.76,-134.88,1.5,5
13,NQ,Long,1,2015-01-22 02:49:00,7185.75,VAB,2015-01-22 03:05:00,7185.75,Sell,-0.288,-1.152,-5.76,5.76,-140.64,1.75,1.25
14,NQ,Short,1,2015-01-22 19:32:00,7248.5,VAB,2015-01-22 19:34:00,7249.75,Stop loss,-1.538,-6.152,-30.76,5.76,-171.4,1.25,0.75
15,NQ,Short,1,2015-01-22 20:06:00,7248.75,VAB,2015-01-22 21:05:00,7250,Stop loss,-1.538,-6.152,-30.76,5.76,-202.16,1.25,1.25
16,NQ,Short,1,2015-01-22 23:28:00,7248.75,VAB,2015-01-23 00:13:00,7250,Stop loss,-1.538,-6.152,-30.76,5.76,-232.92,1.25,1.75
17,NQ,Short,1,2015-01-29 19:37:00,7186.75,VAB,2015-01-29 19:38:00,7185.5,Profit target,0.962,3.848,19.24,5.76,-213.68,0.25,1.25
18,NQ,Short,1,2015-01-30 04:12:00,7158.75,VAB,2015-01-30 04:17:00,7164.75,Stop loss,-6.288,-25.152,-125.76,5.76,-339.44,6,0.5
19,NQ,Long,1,2015-02-03 20:21:00,7200.5,VAB,2015-02-03 20:50:00,7202,Profit target,1.212,4.848,24.24,5.76,-315.2,0.5,1.5
20,NQ,Long,1,2015-02-05 05:31:00,7207.25,VAB,2015-02-05 05:33:00,7204.75,Stop loss,-2.788,-11.152,-55.76,5.76,-370.96,2.5,0
21,NQ,Long,1,2015-02-05 07:24:00,7215.75,VAB,2015-02-05 07:33:00,7212.5,Stop loss,-3.538,-14.152,-70.76,5.76,-441.72,4.25,1.25
