TradeNumber,Instrument,Direction,Quantity,EntryTime,EntryPrice,EntryName,ExitTime,ExitPrice,ExitName,ProfitPoints,ProfitTicks,ProfitCurrency,Commission,CumProfitCurrency,MaePoints,MfePoints,Stop,Target,R
0,NQ,Long,1,2024-03-14 06:20:00,20111.25,VAB,2024-03-14 06:27:00,20101.25,Stop loss,-10.2,-40.8,-204,4,-204,10,3,20106.0208333333,20121.6458333333,-1.9124
1,NQ,Long,1,2024-03-25 10:02:00,20219.5,VAB,2024-03-25 10:50:00,20242.5,Profit target,22.8,91.2,456,4,252,11,26,20203.4375,20242.0625,1.4319
2,NQ,Long,1,2024-03-26 19:49:00,20185,VAB,2024-03-26 19:58:00,20189,Profit target,3.8,15.2,76,4,328,1.75,4.75,20180.9583333333,20189.0833333333,0.9897
3,NQ,Short,1,2024-03-27 12:02:00,20126.5,VAB,2024-03-27 12:12:00,20103,Profit target,23.3,93.2,466,4,794,14.25,24.75,20138.1979166667,20111.0416666667,2.0089
4,NQ,Short,1,2024-04-02 13:40:00,19969,VAB,2024-04-02 13:43:00,19983,Stop loss,-14.2,-56.8,-284,4,510,17.75,0.5,19978.40625,19951.125,-1.4884
5,NQ,Long,1,2024-04-23 15:06:00,19334,VAB,2024-04-23 15:30:00,19345.25,Profit target,11.05,44.2,221,4,731,24.75,13.25,19315.75,19341.25,0.6164
6,NQ,Long,1,2024-04-24 02:55:00,19424,VAB,2024-04-24 03:05:00,19421.5,Sell,-2.7,-10.8,-54,4,677,6.25,1.5,19416,19432.5,-0.3125
7,NQ,Short,1,2024-04-24 17:02:00,19153,VAB,2024-04-24 17:02:00,19153,Profit target,-0.2,-0.8,-4,4,673,0,0,19206.9583333333,19159.7708333333,0.0000
8,NQ,Long,1,2024-04-26 11:00:00,19546.75,VAB,2024-04-28 17:10:00,19550.75,Sell,3.8,15.2,76,4,749,26.25,48.5,19518.8541666667,19602.2916666667,0.1434
9,NQ,Short,1,2024-05-05 21:37:00,19699.75,VAB,2024-05-05 22:33:00,19692.75,Profit target,6.8,27.2,136,4,885,2.75,7.5,19705.3958333333,19693.6145833333,1.2399
10,NQ,Long,1,2024-05-06 09:54:00,19797,VAB,2024-05-06 10:03:00,19780.25,Stop loss,-16.95,-67.8,-339,4,546,19.25,2.75,19785.1666666667,19820.9166666667,-1.4155
11,NQ,Long,1,2024-05-08 11:29:00,19878.75,VAB,2024-05-08 11:37:00,19854.5,Stop loss,-24.45,-97.8,-489,4,57,30,1.75,19867.1875,19895.875,-2.0973
12,NQ,Long,1,2024-05-08 12:55:00,19866.25,VAB,2024-05-08 17:10:00,19852.5,Sell,-13.95,-55.8,-279,4,-222,19.25,29,19846.875,19900.5,-0.7097
13,NQ,Long,1,2024-05-15 04:45:00,20111.5,VAB,2024-05-15 05:05:00,20103.5,Stop loss,-8.2,-32.8,-164,4,-386,8.5,3.5,20104.875,20122.875,-1.2075
14,NQ,Long,1,2024-05-24 15:26:00,20564.5,VAB,2024-05-26 17:10:00,20573.25,Sell,8.55,34.2,171,4,-215,4.25,12.25,20553.0416666667,20585.3854166667,0.7636
15,NQ,Short,1,2024-05-28 20:37:00,20601.75,VAB,2024-05-28 20:50:00,20604.75,Stop loss,-3.2,-12.8,-64,4,-279,4,5.5,20604.78125,20595.5,-0.9897
16,NQ,Short,1,2024-05-30 01:35:00,20362,VAB,2024-05-30 01:50:00,20355,Profit target,6.8,27.2,136,4,-143,4.75,7.5,20369.28125,20355.875,0.9614
17,NQ,Long,1,2024-06-05 14:40:00,20745.25,VAB,2024-06-05 14:46:00,20733.25,Stop loss,-12.2,-48.8,-244,4,-387,15,3.5,20734.125,20756.8125,-1.0787
18,NQ,Long,1,2024-06-25 14:18:00,21383.75,VAB,2024-06-25 14:26:00,21397.75,Profit target,13.8,55.2,276,4,-111,2.75,14,21373.9583333333,21397.7083333333,1.4298
19,NQ,Long,1,2024-06-27 12:37:00,21486.5,VAB,2024-06-27 13:01:00,21467.75,Stop loss,-18.95,-75.8,-379,4,-490,19.5,12.5,21468.96875,21506.84375,-1.0695
20,NQ,Long,1,2024-07-03 09:44:00,21722.75,VAB,2024-07-03 10:17:00,21777.75,Profit target,54.8,219.2,1096,4,606,0.75,55.5,21696.1458333333,21775.8333333333,2.0673
21,NQ,Long,1,2024-07-10 13:46:00,22306.75,VAB,2024-07-10 14:06:00,22295.5,Stop loss,-11.45,-45.8,-229,4,377,11.75,21.5,22296.96875,22326.65625,-1.1502
22,NQ,Short,1,2024-07-11 23:28:00,21849.5,VAB,2024-07-11 23:52:00,21839.25,Profit target,10.05,40.2,201,4,578,1.25,10.75,21856.65625,21839.78125,1.4323
23,NQ,Long,1,2024-07-15 04:41:00,22060.5,VAB,2024-07-15 05:01:00,22057.5,Stop loss,-3.2,-12.8,-64,4,514,4.5,4.25,22057.375,22064.875,-0.9600
24,NQ,Long,1,2024-07-16 06:37:00,22067.75,VAB,2024-07-16 06:40:00,22054.5,Stop loss,-13.45,-53.8,-269,4,245,13.75,0.25,22056.9375,22082.375,-1.2254
25,NQ,Long,1,2024-07-16 07:03:00,22066.5,VAB,2024-07-16 07:45:00,22084.25,Profit target,17.55,70.2,351,4,596,58.5,18.75,22057.7083333333,22083.1458333333,2.0190
26,NQ,Short,1,2024-07-17 05:24:00,21770.5,VAB,2024-07-17 05:28:00,21784.75,Stop loss,-14.45,-57.8,-289,4,307,15.25,2.25,21782.3958333333,21759.5833333333,-1.1979
27,NQ,Short,1,2024-07-17 05:54:00,21768.5,VAB,2024-07-17 05:58:00,21754.25,Profit target,14.05,56.2,281,4,588,1.5,14.25,21781.8125,21756.5,1.0704
28,NQ,Long,1,2024-07-26 05:35:00,20629.25,VAB,2024-07-26 05:44:00,20617.25,Stop loss,-12.2,-48.8,-244,4,344,14,0,20617.5,20638.125,-1.0213
