EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,ExitName,ProfitPoints,ProfitCurrency,Commission,MaePoints,MfePoints,Stop,Target,R
2015-01-02T17:01:00Z,2015-01-02T17:01:00Z,Short,4217.25,4217.5,,-0.25,-5,4.3,-0.25,0.0,,,
2015-01-06T14:31:00Z,2015-01-06T14:31:00Z,Short,4163.75,4164.0,,-0.25,-5,4.3,-0.25,0.0,,,
2015-01-09T15:11:00Z,2015-01-09T15:11:00Z,Short,4236.0,4236.5,,-0.5,-10,4.3,-0.5,0.0,,,
2015-01-12T17:06:00Z,2015-01-12T17:10:00Z,Short,4174.0,4176.5,,-2.5,-50,4.3,-2.5,0.0,,,
2015-01-13T14:31:00Z,2015-01-13T14:31:00Z,Short,4204.75,4205.0,,-0.25,-5,4.3,-0.25,0.0,,,
2015-01-14T14:31:00Z,2015-01-14T14:31:00Z,Short,4118.0,4118.25,,-0.25,-5,4.3,-0.25,0.0,,,
2015-01-28T19:06:00Z,2015-01-28T19:11:00Z,Short,4204.0,4187.25,,16.75,335,4.3,0.0,16.875,,,
2015-01-29T14:31:00Z,2015-01-29T14:31:00Z,Short,4130.0,4130.25,,-0.25,-5,4.3,-0.25,0.0,,,
2015-03-03T19:11:00Z,2015-03-03T19:11:00Z,Short,4454.5,4454.75,,-0.25,-5,4.3,-0.25,0.0,,,
2015-03-03T19:16:00Z,2015-03-03T19:16:00Z,Short,4455.25,4455.5,,-0.25,-5,4.3,-0.25,0.0,,,
2015-04-14T13:31:00Z,2015-04-14T13:31:00Z,Short,4406.5,4406.75,,-0.25,-5,4.3,-0.25,0.0,,,
2015-04-21T20:11:00Z,2015-04-21T20:39:00Z,Short,4429.5,4431.0,,-1.5,-30,4.3,-1.5,0.75,,,
2015-05-05T17:51:00Z,2015-05-05T17:52:00Z,Short,4411.25,4413.25,,-2.0,-40,4.3,-2.0,0.0,,,
2015-05-05T17:56:00Z,2015-05-05T18:12:00Z,Short,4408.25,4412.75,,-4.5,-90,4.3,-4.5,2.25,,,
2015-05-15T16:06:00Z,2015-05-15T16:07:00Z,Short,4483.75,4485.25,,-1.5,-30,4.3,-1.5,0.0,,,
2015-05-15T16:11:00Z,2015-05-15T16:23:00Z,Short,4483.25,4485.5,,-2.25,-45,4.3,-2.25,0.75,,,
2015-05-26T20:16:00Z,2015-05-26T20:16:00Z,Short,4480.75,4481.0,,-0.25,-5,4.3,-0.25,0.0,,,
2015-05-26T20:21:00Z,2015-05-26T20:21:00Z,Short,4480.25,4480.5,,-0.25,-5,4.3,-0.25,0.0,,,
2015-06-12T20:16:00Z,2015-06-15T13:31:00Z,Short,4455.0,4410.5,,44.5,890,4.3,-1.0,44.625,,,
2015-06-19T16:36:00Z,2015-06-19T16:36:00Z,Short,4512.0,4512.25,,-0.25,-5,4.3,-0.25,0.0,,,
2015-06-24T20:36:00Z,2015-06-24T20:36:00Z,Short,4519.25,4519.5,,-0.25,-5,4.3,-0.25,0.0,,,
2015-06-26T20:16:00Z,2015-06-29T13:31:00Z,Short,4480.5,4427.75,,52.75,1055,4.3,-1.75,53.0,,,
2015-07-03T16:51:00Z,2015-07-03T17:00:00Z,Short,4415.0,4417.75,,-2.75,-55,4.3,-2.75,0.5,,,
2015-07-31T19:06:00Z,2015-07-31T19:21:00Z,Short,4582.5,4581.25,,1.25,25,4.3,-1.125,1.75,,,
2015-07-31T19:36:00Z,2015-07-31T19:37:00Z,Short,4582.5,4583.25,,-0.75,-15,4.3,-0.75,0.0,,,
2015-08-03T19:31:00Z,2015-08-03T19:31:00Z,Short,4556.75,4557.0,,-0.25,-5,4.3,-0.25,0.0,,,
2015-08-03T19:36:00Z,2015-08-03T19:36:00Z,Short,4557.25,4557.5,,-0.25,-5,4.3,-0.25,0.0,,,
2015-08-26T13:31:00Z,2015-08-26T13:31:00Z,Short,4127.5,4128.0,,-0.5,-10,4.3,-0.5,0.0,,,
2015-09-04T13:31:00Z,2015-09-04T13:31:00Z,Short,4177.5,4177.75,,-0.25,-5,4.3,-0.25,0.0,,,
2015-10-16T14:31:00Z,2015-10-16T14:34:00Z,Short,4411.25,4413.25,,-2.0,-40,4.3,-2.0,0.75,,,
2015-11-05T14:31:00Z,2015-11-05T14:31:00Z,Short,4716.75,4717.0,,-0.25,-5,4.3,-0.25,0.0,,,
2015-11-30T21:21:00Z,2015-11-30T21:21:00Z,Short,4674.75,4675.75,,-1.0,-20,4.3,-1.0,0.0,,,
2015-12-09T18:26:00Z,2015-12-09T18:42:00Z,Short,4603.25,4606.25,,-3.0,-60,4.3,-3.0,7.25,,,
