EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,ExitName,ProfitPoints,ProfitCurrency,Commission,MaePoints,MfePoints,Stop,Target,R
2024-01-18T21:18:58Z,2024-01-19T14:30:01Z,Long,17114.5,17188.0,,73.5,1470,4.3,-2.25,74.375,,,
2024-01-19T20:45:59Z,2024-01-19T21:02:47Z,Long,17435.75,17454.25,,18.5,370,4.3,-8.25,18.5,,,
2024-02-12T14:34:02Z,2024-02-12T14:35:00Z,Long,18042.5,18045.25,,2.75,55,4.3,-3.0,6.0,,,
2024-02-13T14:30:01Z,2024-02-13T14:30:02Z,Short,17614.5,17615.75,,-1.25,-25,4.3,-1.25,9.375,,,
2024-03-04T15:28:00Z,2024-03-04T15:34:06Z,Short,18291.0,18305.25,,-14.25,-285,4.3,-14.25,10.125,,,
2024-03-05T16:10:48Z,2024-03-05T16:17:14Z,Short,17931.25,17943.0,,-11.75,-235,4.3,-11.75,17.25,,,
2024-03-05T16:38:22Z,2024-03-05T17:04:20Z,Short,17928.25,17948.25,,-20.0,-400,4.3,-20.0,19.625,,,
2024-03-05T20:21:59Z,2024-03-05T20:41:04Z,Short,17841.25,17864.5,,-23.25,-465,4.3,-23.25,8.25,,,
2024-03-12T20:11:11Z,2024-03-13T13:30:01Z,Long,18226.0,18174.0,,-52.0,-1040,4.3,-52.0,6.0,,,
2024-03-25T15:00:02Z,2024-03-25T15:48:13Z,Long,18523.0,18548.25,,25.25,505,4.3,-8.25,26.75,,,
2024-03-27T17:00:43Z,2024-03-27T17:01:57Z,Short,18432.75,18444.75,,-12.0,-240,4.3,-12.0,0.75,,,
2024-03-27T17:20:06Z,2024-03-27T18:21:12Z,Short,18431.75,18447.25,,-15.5,-310,4.3,-15.5,17.0,,,
2024-04-03T14:11:39Z,2024-04-03T14:11:43Z,Long,18346.75,18342.75,,-4.0,-80,4.3,-4.0,0.0,,,
2024-04-16T19:25:21Z,2024-04-16T19:33:05Z,Long,17940.5,17925.5,,-15.0,-300,4.3,-15.0,11.75,,,
2024-04-23T18:35:01Z,2024-04-23T18:51:26Z,Long,17645.75,17632.5,,-13.25,-265,4.3,-13.25,9.75,,,
2024-04-23T19:40:10Z,2024-04-23T19:42:17Z,Long,17631.0,17622.0,,-9.0,-180,4.3,-9.0,0.0,,,
2024-04-23T20:22:04Z,2024-04-24T13:30:01Z,Long,17646.0,17727.5,,81.5,1630,4.3,-1.75,84.625,,,
2024-04-25T13:30:01Z,2024-04-25T13:30:02Z,Short,17340.75,17343.0,,-2.25,-45,4.3,-2.25,1.375,,,
2024-04-26T15:15:04Z,2024-04-26T15:48:45Z,Long,17835.0,17871.25,,36.25,725,4.3,-11.0,36.25,,,
2024-04-26T15:55:43Z,2024-04-29T13:30:01Z,Long,17853.0,17921.0,,68.0,1360,4.3,-26.25,73.75,,,
2024-04-30T14:10:01Z,2024-04-30T14:12:42Z,Long,17871.25,17849.5,,-21.75,-435,4.3,-21.75,0.0,,,
2024-05-01T17:10:01Z,2024-05-01T17:18:20Z,Short,17431.75,17414.25,,17.5,350,4.3,-6.25,18.0,,,
2024-05-08T16:27:08Z,2024-05-08T16:35:05Z,Long,18183.0,18170.5,,-12.5,-250,4.3,-12.5,3.5,,,
2024-05-08T17:45:33Z,2024-05-09T13:35:00Z,Long,18171.25,18178.25,,7.0,140,4.3,-17.5,31.5,,,
2024-05-21T16:05:23Z,2024-05-21T16:12:38Z,Long,18748.5,18764.0,,15.5,310,4.3,-3.75,15.5,,,
2024-05-21T16:46:32Z,2024-05-21T16:58:07Z,Long,18752.5,18739.5,,-13.0,-260,4.3,-13.0,4.5,,,
2024-05-24T19:55:01Z,2024-05-24T19:56:25Z,Long,18870.0,18858.0,,-12.0,-240,4.3,-12.0,0.0,,,
2024-05-24T20:05:04Z,2024-05-27T13:31:03Z,Long,18870.5,18891.75,,21.25,425,4.3,-4.0,21.75,,,
2024-06-05T19:36:44Z,2024-06-05T19:44:25Z,Long,19048.25,19040.5,,-7.75,-155,4.3,-7.75,5.0,,,
2024-06-19T14:25:54Z,2024-06-19T14:30:02Z,Short,19963.0,19958.25,,4.75,95,4.3,-0.375,5.0,,,
2024-06-25T19:16:29Z,2024-06-25T19:25:01Z,Long,19949.5,19964.75,,15.25,305,4.3,-1.25,15.25,,,
2024-06-26T18:15:17Z,2024-06-26T18:39:28Z,Long,19975.75,19958.25,,-17.5,-350,4.3,-17.5,4.75,,,
2024-06-26T18:48:27Z,2024-06-26T18:55:41Z,Long,19977.25,19959.0,,-18.25,-365,4.3,-18.25,8.5,,,
2024-06-27T17:25:50Z,2024-06-27T17:59:32Z,Long,20048.5,20034.75,,-13.75,-275,4.3,-13.75,16.875,,,
2024-07-03T14:10:45Z,2024-07-03T14:26:12Z,Long,20273.25,20248.5,,-24.75,-495,4.3,-24.75,20.0,,,
2024-07-03T14:43:01Z,2024-07-03T15:15:58Z,Long,20289.75,20342.75,,53.0,1060,4.3,0.0,54.25,,,
2024-07-10T18:33:10Z,2024-07-10T18:51:38Z,Long,20874.0,20893.75,,19.75,395,4.3,-8.5,19.75,,,
2024-07-26T14:18:51Z,2024-07-26T14:20:57Z,Short,19070.75,19119.5,,-48.75,-975,4.3,-48.75,6.625,,,
2024-07-31T20:16:07Z,2024-08-01T13:35:00Z,Long,19569.75,19558.5,,-11.25,-225,4.3,-54.25,32.75,,,
2024-08-21T20:39:39Z,2024-08-22T13:30:01Z,Long,19922.25,19993.5,,71.25,1425,4.3,-9.25,73.75,,,
2024-08-28T14:40:07Z,2024-08-28T14:49:06Z,Short,19537.25,19477.75,,59.5,1190,4.3,-11.75,60.0,,,
2024-08-30T17:56:06Z,2024-08-30T17:59:42Z,Short,19461.5,19440.0,,21.5,430,4.3,0.0,21.5,,,
2024-08-30T18:11:09Z,2024-08-30T18:12:15Z,Short,19454.75,19475.75,,-21.0,-420,4.3,-21.0,0.0,,,
2024-09-03T15:40:26Z,2024-09-03T16:46:30Z,Short,19186.5,19135.25,,51.25,1025,4.3,-17.5,51.25,,,
2024-09-11T20:47:54Z,2024-09-11T20:50:02Z,Long,19249.25,19243.75,,-5.5,-110,4.3,-5.5,0.625,,,
2024-09-12T19:35:30Z,2024-09-12T19:40:10Z,Long,19454.5,19438.75,,-15.75,-315,4.3,-15.75,0.25,,,
2024-09-13T14:17:10Z,2024-09-13T14:28:09Z,Long,19509.5,19466.0,,-43.5,-870,4.3,-43.5,18.75,,,
2024-09-13T14:44:05Z,2024-09-16T13:30:01Z,Long,19516.25,19436.75,,-79.5,-1590,4.3,-79.5,59.875,,,
2024-09-18T14:20:02Z,2024-09-18T14:29:19Z,Short,19428.0,19460.25,,-32.25,-645,4.3,-32.25,13.0,,,
